Item_No,Entry_No,Title,Journal,Authors,Abstract,Year,DOI,TheoryName,Subtypes_N,Subtypes_No.,Subtype_Label,Subtype_Description,Subtype_UniLabel,Subtype_Prevalence
ID13,ID13_01,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright © 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S1,Phonological dyslexia,Deficit in lexical processing,Phonological dyslexia,11%
ID13,ID13_02,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright © 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S1,Phonological dyslexia,Deficit in lexical processing,Phonological dyslexia,11%
ID13,ID13_03,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright © 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S1,Phonological dyslexia,Deficit in lexical processing,Phonological dyslexia,0%
ID20,ID20_01,The summary writing performance of bilingual learners with reading difficulties,Annals of Dyslexia,"Li, M., Chan, J., & Kirby, J. R.","Writing is an important tactic for learning from text and the summaries provide information on students' comprehension and learning processes. We investigated the nature of the summaries produced by bilingual adolescents, and whether their summaries were related to their reading abilities in their first and second languages. In each language, we examined the performance of students identified as typically developing, poor decoders, or poor comprehenders. Participants were 246 grade 8 students enrolled in English immersion programs in China. Measures included English word reading and reading comprehension, Chinese word reading and reading comprehension, and nonverbal ability. Students' text-absent summaries of an English 254-word expository passage were analyzed for the number of themes, main ideas, important details, and unimportant details. Using latent profile analysis, participants were identified as typical readers (TR, n=123), poor decoders (PD, n=74), or poor comprehenders (PC, n=49) in English, and TR (n=129), PD (n=74), or PC (n=43) in Chinese, based on word reading and reading comprehension in both English and Chinese. MANCOVA results showed that after controlling for nonverbal ability, in the English-defined groups, the TR group outperformed PD and PC on themes, main ideas, and important details; in the Chinese-defined groups, the TR group outperformed PD and PC on themes, TR performed better than PC on main ideas and important details, and PD outperformed PC on main ideas. Discussion focuses on the difficulties faced by bilingual students with reading difficulties and on the potential of summary writing instruction to improve their comprehension and learning processes.Copyright © 2022. Crown.",2023,10.1007/s11881-022-00258-0,"Construction-integration model (Kintsch, 1998)",3,S1,Typically developing reader,Good word reading and reading comprehension skills,No deficit,50%
ID23,ID23_01,Stroop performance is related to reading profiles in Hebrew‐speaking individuals with dyslexia and typical readers,Dyslexia: An International Journal of Research and Practice,"Abo-elhija, D., Farah, R., & Horowitz-Kraus, T.","There is a debate in the literature regarding the level of contribution of executive functions (EF) to reading comprehension (RC), in the context of the simple view of reading (SVR) model. The current study aims to create sub‐profiles of reading and cognitive abilities based on a measure traditionally used for evaluating EF, that is, the Stroop task, and specifically, Stroop time. Ninety‐seven adults with and without reading difficulties performed reading and cognitive tasks, including the Stroop tests. Four groups were created based on Stroop performance time and a reading profile was created for each group. A mediation analysis was conducted to determine if reading accuracy and linguistic abilities predict RC mediated by Stroop time. Participants with a shorter Stroop time demonstrated better reading abilities, whereas those with longer Stroop time showed decreased reading performance. Stroop time was also negatively associated with better performance in additional cognitive abilities. A mediation analysis suggested that decoding ability and linguistic ability predict RC through EF. Our findings support the SVR model and the involvement of EF in reading proficiency and might be used for designing EF‐based interventions for reading and RC difficulties. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1708,Unknown,4,S1,(No label),25% and below in Stroop time,(No label),20%
ID28,ID28_01,Is executive dysfunction a potential contributor to the comorbidity between basic reading disability and attention-deficit/hyperactivity disorder?,Child Neuropsychology: A Journal on Normal and Abnormal Development in Childhood and Adolescence,"Kibby, M. Y., Newsham, G., & Imre, Z., & Schlak, J. E.","Our study is one of the few to analyze executive functioning (EF) in a comprehensive, multi-modal fashion as a potential contributor to the comorbidity between attention-deficit/hyperactivity disorder (ADHD) and basic reading disability (RD). We included multiple, traditional, neuropsychological measures of EF, along with the Behavior Rating Inventory of Executive Function (BRIEF) questionnaire, to assess inhibit, shift, working memory (WM), planning, generation fluency, and problem-solving. Participants included 263 children, ages 8-12 years, with RD, ADHD, RD/ADHD, and typically developing controls. When using the traditional measures in a 2 x 2 MANCOVA, we found both RD and ADHD had poor cognitive EF in most areas at the group level, with phonological loop deficits being more specific to RD and behavioral regulation deficits being more specific to ADHD. Children with RD/ADHD performed comparably to those with RD and ADHD alone. Results were similar on the BRIEF. In contrast, only WM predicted both basic reading and inattention when the data were assessed in a continuous fashion. It also explained the correlations between basic reading and inattention, being worthy of longitudinal research to determine if it is a shared contributor to RD/ADHD. When comparing hypotheses as to the nature of RD/ADHD, we found the multiple deficit hypothesis was better supported by our EF data than the phenocopy hypothesis or the cognitive subtype hypothesis.",2021,10.1080/09297049.2021.1908532,Multiple-deficit theory,3,S1,Not impaired,90 standard scores or above in WM,No deficit,32.70%
ID32,ID32_01,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‐means clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S1,Phonological-awareness deficit,Deficit in phonological awareness,Phonological dyslexia,14.9%
ID32,ID32_02,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‐means clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S1,Phonological-awareness deficit,Deficit in phonological awareness,Phonological dyslexia,15.6%
ID59,ID59_01,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3–5 (8–10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,4,S1,Mixed difficulty group,Difficulty in decoding and language comprehension,Poor comprehender-decoder,23%
ID59,ID59_02,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3–5 (8–10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,3,S1,Mixed difficulty group,Difficulty in decoding and language comprehension,Poor comprehender-decoder,17%
